uid,sid,value
198,0,1
4247,0,1
1231,0,1
61,0,1
1255,0,1
4406,0,1
1943,0,1
2694,0,1
272,0,1
2051,0,1
4456,0,1
2669,0,1
4388,0,1
2954,0,1
1911,0,1
515,0,1
3437,0,1
2188,0,1
3681,0,1
4616,0,1
4242,0,1
1938,0,1
2277,0,1
125,0,1
4595,0,1
3107,0,1
424,0,1
366,0,1
4735,0,1
2576,0,1
3228,0,1
3138,0,1
2160,0,1
678,0,1
3451,0,1
153,0,1
692,0,1
1752,0,1
3325,0,1
2331,0,1
1112,0,1
3469,0,1
3131,0,1
2273,0,1
4736,0,1
2450,0,1
1714,0,1
78,0,1
1312,0,1
131,0,1
2608,0,1
3915,0,1
2298,0,1
4546,0,1
3555,0,1
1677,0,1
2112,0,1
3923,0,1
4049,0,1
1805,0,1
2139,0,1
3581,0,1
1168,0,0
4347,0,1
2829,0,1
2511,0,1
383,0,1
3961,0,1
3464,0,0
594,0,1
2875,0,1
3761,0,1
4685,0,1
2097,0,1
4572,0,1
289,0,1
1144,0,1
687,0,1
732,0,1
2475,0,1
1635,0,1
958,0,1
508,0,0
1469,0,1
1361,0,1
1289,0,1
2837,0,1
1150,0,1
1446,0,1
72,0,1
3537,0,1
4229,0,1
3723,0,1
1587,0,1
2258,0,1
2231,0,1
2129,0,1
3240,0,1
825,0,1
3110,0,1
4262,0,1
4400,0,1
358,0,1
741,0,1
3563,0,1
376,0,1
1886,0,1
2074,0,1
3837,0,1
2633,0,1
2943,0,1
3136,0,0
1681,0,0
4048,0,1
996,0,1
2027,0,1
3762,0,1
2190,0,1
1592,0,1
2755,0,1
1075,0,1
601,0,0
4571,0,1
1252,0,1
1603,0,1
4709,0,1
1196,0,1
1704,0,1
4012,0,1
421,0,1
3795,0,1
2803,0,1
330,0,1
375,0,1
4108,0,1
453,0,1
1238,0,1
1401,0,1
1260,0,1
1792,0,1
4022,0,1
458,0,1
24,0,1
3064,0,1
2283,0,1
2887,0,1
566,0,1
889,0,1
1925,0,1
3301,0,1
3421,0,1
356,0,1
1064,0,1
4533,0,1
1713,0,1
415,0,1
3074,0,1
4121,0,1
2010,0,1
307,0,1
4439,0,1
3903,0,0
2622,0,1
654,0,1
1492,0,1
3404,0,1
626,0,0
1950,0,1
962,0,1
1158,0,1
3250,0,1
3466,0,1
3826,0,0
1680,0,1
941,0,1
2657,0,1
4730,0,1
1697,0,1
2776,0,1
4362,0,1
4299,0,1
3582,0,1
1005,0,1
3072,0,1
3794,0,1
1043,0,1
4197,0,1
1567,0,1
1511,0,1
4707,0,1
3126,0,1
4135,0,1
2096,0,1
1575,0,1
2198,0,1
2088,0,1
3101,0,1
1147,0,1
3036,0,1
1034,0,1
1425,0,1
535,0,1
1618,0,1
2313,0,1
2860,0,1
2693,0,1
4268,0,1
1280,0,1
570,0,1
565,0,1
1826,0,1
3154,0,1
2871,0,1
4365,0,1
211,0,1
180,0,1
3694,0,1
4015,0,1
51,0,1
1353,0,1
3661,0,1
3669,0,1
3963,0,1
1191,0,1
2765,0,1
4259,0,0
108,0,1
4256,0,1
84,0,1
4310,0,1
3610,0,1
4443,0,1
972,0,1
1637,0,1
3255,0,0
3353,0,1
1775,0,1
4170,0,0
3341,0,1
3713,0,1
3959,0,1
240,0,1
1397,0,1
3672,0,1
2618,0,1
3287,0,1
4191,0,1
28,0,1
3830,0,1
403,0,1
1198,0,1
2353,0,1
3948,0,1
873,0,1
746,0,1
1523,0,1
2827,0,1
397,0,1
4011,0,0
1821,0,1
4261,0,1
2312,0,1
4029,0,1
4066,0,1
224,0,1
683,0,1
3982,0,1
2737,0,1
3003,0,1
3697,0,1
2528,0,1
1476,0,1
4512,0,1
4499,0,1
3285,0,1
1160,0,1
452,0,1
828,0,1
2392,0,1
1338,0,1
2006,0,1
407,0,0
4404,0,1
1986,0,1
2284,0,0
4632,0,1
1195,0,1
2938,0,1
2013,0,1
3683,0,1
1613,0,1
3128,0,1
3277,0,1
4441,0,1
2136,0,1
4141,0,1
1725,0,1
4636,0,1
1510,0,1
3782,0,1
3235,0,1
3408,0,0
2393,0,1
2664,0,1
299,0,1
1939,0,1
3448,0,1
2370,0,1
1407,0,1
2440,0,1
2680,0,1
4009,0,1
43,0,1
2427,0,1
4264,0,1
2513,0,0
944,0,1
3640,0,1
2727,0,1
1391,0,1
3411,0,1
4270,0,1
263,0,1
4637,0,1
4209,0,1
4589,0,0
3529,0,1
1593,0,1
1079,0,1
3827,0,1
1203,0,1
2042,0,1
2797,0,1
2546,0,1
738,0,1
3180,0,1
2089,0,1
1382,0,1
2480,0,1
2115,0,1
4515,0,1
2109,0,1
2285,0,1
2598,0,1
3560,0,1
2349,0,1
1736,0,1
4543,0,1
2569,0,0
3189,0,1
1008,0,1
1060,0,1
1982,0,1
1600,0,1
974,0,1
3489,0,1
3051,0,1
329,0,0
441,0,1
86,0,1
437,0,1
2159,0,1
1643,0,1
2631,0,1
2643,0,1
2399,0,1
4084,0,1
304,0,1
