uid,sid,value
1700,0,1
1426,0,1
1547,1,1
1311,1,1
1559,1,1
2052,2,1
2336,2,1
1421,2,1
69,2,1
1096,2,1
456,2,1
91,2,1
1214,2,1
1836,2,1
928,2,1
122,2,1
1543,2,1
696,2,1
1876,2,1
1242,2,1
1695,2,1
1548,2,1
137,3,1
161,3,1
1314,4,1
1553,5,1
373,5,1
1819,5,1
1314,5,1
587,5,1
1573,5,1
432,5,1
820,5,1
2138,5,1
1280,5,1
1008,5,1
531,5,1
825,5,1
1746,5,1
1649,5,1
1871,5,1
387,5,1
189,5,1
489,5,1
1507,5,1
2220,5,1
1506,5,1
433,5,1
670,5,1
1430,5,1
2060,5,1
779,5,1
935,5,1
2258,5,1
922,5,1
555,5,1
1676,5,1
300,5,1
1094,5,1
1776,5,1
1071,5,1
1558,5,1
15,5,1
1690,5,1
501,5,1
991,5,1
1325,5,1
1303,5,1
1482,5,1
1853,5,1
721,5,1
1830,5,1
893,5,1
1453,5,1
107,5,1
2140,5,1
960,5,1
386,5,1
1006,5,1
1413,5,1
1636,5,1
2127,5,1
365,5,1
247,5,1
1186,5,1
1367,5,1
1583,5,1
1177,5,1
917,5,1
1911,5,1
2349,5,1
2333,5,1
1805,5,1
2381,5,1
1858,5,1
1821,5,1
2403,5,1
1962,5,1
2254,5,1
1198,5,1
2082,5,1
1926,5,1
2267,5,1
476,5,1
1124,5,1
496,5,1
144,5,1
184,5,1
1448,5,1
177,5,1
1301,5,1
1726,5,1
702,5,1
807,5,1
2379,5,1
2283,5,1
1044,5,1
618,5,1
2292,5,1
74,5,1
1623,5,1
1883,5,1
506,5,1
920,5,1
1844,5,1
1696,5,1
2247,5,1
2013,5,1
130,5,1
1273,5,1
544,5,1
715,5,1
996,5,1
1908,5,1
133,5,1
863,5,1
931,5,1
2105,5,1
1073,5,1
943,5,1
33,5,1
417,5,1
765,5,1
495,5,1
367,5,1
2161,5,1
2150,5,1
856,5,1
1930,5,1
528,5,1
1865,5,1
8,5,1
1532,5,1
784,5,1
771,5,1
581,5,1
1264,5,1
710,5,1
2038,5,1
1628,5,1
1509,5,1
2242,5,1
1405,5,1
2191,5,1
445,5,1
2164,5,1
838,5,1
828,5,1
1564,5,1
2151,5,1
2066,5,1
1617,5,1
1840,5,1
1934,5,1
1017,5,1
1491,5,1
2046,5,1
264,5,1
277,5,1
830,5,1
478,5,1
1131,5,1
2262,5,1
1260,5,1
46,5,1
240,5,1
1781,5,1
79,5,1
896,5,1
1040,5,1
1245,5,1
1701,5,1
2084,5,1
903,5,1
117,5,1
948,5,1
1755,5,1
1665,5,1
252,5,1
2111,5,1
565,5,1
995,5,1
1241,5,1
971,5,1
1092,5,1
2331,5,1
725,5,1
2370,5,1
730,5,1
1863,5,1
569,5,1
